Stát;Ukazatel;Kumulace měsíců;Směr výstavby;value
Česko;Počet vydaných stavebních povolení - budovy;září 2016;Nová výstavba;15767
Česko;Počet vydaných stavebních povolení - budovy;září 2016;Změny dokončených staveb;20956
Česko;Počet vydaných stavebních povolení - budovy;srpen 2016;Celkem;32390
Česko;Počet vydaných stavebních povolení - budovy;srpen 2016;Nová výstavba;13819
Česko;Počet vydaných stavebních povolení - budovy;srpen 2016;Změny dokončených staveb;18571
Česko;Počet vydaných stavebních povolení - budovy;červenec 2016;Celkem;27782
Česko;Počet vydaných stavebních povolení - budovy;červenec 2016;Nová výstavba;11883
Česko;Počet vydaných stavebních povolení - budovy;červenec 2016;Změny dokončených staveb;15899
Česko;Počet vydaných stavebních povolení - budovy;červen 2016;Celkem;23499
Česko;Počet vydaných stavebních povolení - budovy;červen 2016;Nová výstavba;10016
Česko;Počet vydaných stavebních povolení - budovy;červen 2016;Změny dokončených staveb;13483
Česko;Počet vydaných stavebních povolení - budovy;květen 2016;Celkem;19165
Česko;Počet vydaných stavebních povolení - budovy;květen 2016;Nová výstavba;8002
Česko;Počet vydaných stavebních povolení - budovy;květen 2016;Změny dokončených staveb;11163
Česko;Počet vydaných stavebních povolení - budovy;duben 2016;Celkem;14349
Česko;Počet vydaných stavebních povolení - budovy;duben 2016;Nová výstavba;5853
Česko;Počet vydaných stavebních povolení - budovy;duben 2016;Změny dokončených staveb;8496
Česko;Počet vydaných stavebních povolení - budovy;březen 2016;Celkem;10093
Česko;Počet vydaných stavebních povolení - budovy;březen 2016;Nová výstavba;3982
Česko;Počet vydaných stavebních povolení - budovy;březen 2016;Změny dokončených staveb;6111
Česko;Počet vydaných stavebních povolení - budovy;únor 2016;Celkem;6313
Česko;Počet vydaných stavebních povolení - budovy;únor 2016;Nová výstavba;2427
Česko;Počet vydaných stavebních povolení - budovy;únor 2016;Změny dokončených staveb;3886
Česko;Počet vydaných stavebních povolení - budovy;leden 2016;Celkem;3059
Česko;Počet vydaných stavebních povolení - budovy;leden 2016;Nová výstavba;1165
Česko;Počet vydaných stavebních povolení - budovy;leden 2016;Změny dokončených staveb;1894
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2015;Celkem;45675
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2015;Nová výstavba;18819
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2015;Změny dokončených staveb;26856
Česko;Počet vydaných stavebních povolení - budovy;listopad 2015;Celkem;42229
Česko;Počet vydaných stavebních povolení - budovy;listopad 2015;Nová výstavba;17405
Česko;Počet vydaných stavebních povolení - budovy;listopad 2015;Změny dokončených staveb;24824
Česko;Počet vydaných stavebních povolení - budovy;říjen 2015;Celkem;38369
