Ukazatel;Roky;SO ORP;Velikostní skupina obcí;value
Počet obyvatel;2024;Trhové Sviny;50 000 až 99 999;
Počet obyvatel;2024;Trhové Sviny;100 000 a více;
Počet obyvatel;2024;Třeboň;Celkem;24803.0
Počet obyvatel;2024;Třeboň;méně než 200;
Počet obyvatel;2024;Třeboň;200 až 499;
Počet obyvatel;2024;Třeboň;500 až 999;
Počet obyvatel;2024;Třeboň;1 000 až 1 9999;
Počet obyvatel;2024;Třeboň;2 000 až 4 999;
Počet obyvatel;2024;Třeboň;5 000 až 9 9999;
Počet obyvatel;2024;Třeboň;10 000 až 19 999;
Počet obyvatel;2024;Třeboň;20 000 až 49 999;
Počet obyvatel;2024;Třeboň;50 000 až 99 999;
Počet obyvatel;2024;Třeboň;100 000 a více;
Počet obyvatel;2024;Týn nad Vltavou;Celkem;14092.0
Počet obyvatel;2024;Týn nad Vltavou;méně než 200;
Počet obyvatel;2024;Týn nad Vltavou;200 až 499;
Počet obyvatel;2024;Týn nad Vltavou;500 až 999;
Počet obyvatel;2024;Týn nad Vltavou;1 000 až 1 9999;
Počet obyvatel;2024;Týn nad Vltavou;2 000 až 4 999;
Počet obyvatel;2024;Týn nad Vltavou;5 000 až 9 9999;
Počet obyvatel;2024;Týn nad Vltavou;10 000 až 19 999;
Počet obyvatel;2024;Týn nad Vltavou;20 000 až 49 999;
Počet obyvatel;2024;Týn nad Vltavou;50 000 až 99 999;
Počet obyvatel;2024;Týn nad Vltavou;100 000 a více;
Počet obyvatel;2024;Vimperk;Celkem;17286.0
Počet obyvatel;2024;Vimperk;méně než 200;
Počet obyvatel;2024;Vimperk;200 až 499;
Počet obyvatel;2024;Vimperk;500 až 999;
Počet obyvatel;2024;Vimperk;1 000 až 1 9999;
Počet obyvatel;2024;Vimperk;2 000 až 4 999;
Počet obyvatel;2024;Vimperk;5 000 až 9 9999;
Počet obyvatel;2024;Vimperk;10 000 až 19 999;
Počet obyvatel;2024;Vimperk;20 000 až 49 999;
Počet obyvatel;2024;Vimperk;50 000 až 99 999;
Počet obyvatel;2024;Vimperk;100 000 a více;
Počet obyvatel;2024;Vodňany;Celkem;12559.0
Počet obyvatel;2024;Vodňany;méně než 200;
Počet obyvatel;2024;Vodňany;200 až 499;
Počet obyvatel;2024;Vodňany;500 až 999;
Počet obyvatel;2024;Vodňany;1 000 až 1 9999;
Počet obyvatel;2024;Vodňany;2 000 až 4 999;
Počet obyvatel;2024;Vodňany;5 000 až 9 9999;
Počet obyvatel;2024;Vodňany;10 000 až 19 999;
Počet obyvatel;2024;Vodňany;20 000 až 49 999;
Počet obyvatel;2024;Vodňany;50 000 až 99 999;
Počet obyvatel;2024;Vodňany;100 000 a více;
Počet obyvatel;2024;Blovice;Celkem;12635.0
Počet obyvatel;2024;Blovice;méně než 200;
Počet obyvatel;2024;Blovice;200 až 499;
Počet obyvatel;2024;Blovice;500 až 999;
Počet obyvatel;2024;Blovice;1 000 až 1 9999;
Počet obyvatel;2024;Blovice;2 000 až 4 999;
Počet obyvatel;2024;Blovice;5 000 až 9 9999;
Počet obyvatel;2024;Blovice;10 000 až 19 999;
