Území,CZ NACE,Ukazatel,Roky,value
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2021,1940.5456528757
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2022,2273.4873089319
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2023,2285.6519486666
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2008,200109.312201379
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2009,161485.648914186
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2010,152837.650417293
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2011,195842.055326953
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2012,169854.2586035
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2013,208289.992765948
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2014,226684.02493638
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2015,224235.257432277
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2016,229608.297137725
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2017,242932.708428776
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2018,260630.868679327
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2019,262393.50157669
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2020,318857.395118271
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2021,355847.786803839
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2022,341706.31044482
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Ostatní provozní výnosy (mil. Kč),2023,421316.6821396244
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2008,1870504.20012502
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Výkony včetně obchodní marže (mil. Kč),2009,1785427.31335047
