Území;Ukazatel;Typ ceny;Očištění;CZCPA;Čtvrtletí;value
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2006;5281.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2006;3930.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2006;3651.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2006;4650.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2005;5707.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2005;5349.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2005;4848.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2005;4353.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;1. čtvrtletí 2025;2766.084207
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;4. čtvrtletí 2024;2709.42846
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;3. čtvrtletí 2024;2302.417319
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;2. čtvrtletí 2024;2729.291081
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;1. čtvrtletí 2024;3065.435806
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;4. čtvrtletí 2023;3028.135391
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;3. čtvrtletí 2023;2843.122678
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;2. čtvrtletí 2023;3498.748585
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;1. čtvrtletí 2023;4656.682088
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;4. čtvrtletí 2022;5404.589012
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;3. čtvrtletí 2022;6199.000618
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;2. čtvrtletí 2022;7237.699394
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;1. čtvrtletí 2022;6105.058939
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;4. čtvrtletí 2021;6200.966786
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;3. čtvrtletí 2021;7841.954053
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;2. čtvrtletí 2021;6663.369461
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;1. čtvrtletí 2021;5063.543551
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;4. čtvrtletí 2020;5519.343105
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;3. čtvrtletí 2020;5510.177978
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;2. čtvrtletí 2020;4804.011334
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;1. čtvrtletí 2020;4567.268136
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;4. čtvrtletí 2019;4809.118552
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;02 Produkty lesnictví, těžby dřeva a související služby;3. čtvrtletí 2019;4847.529471
