Území,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),173.2099513031
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.7691285817
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.4460246533
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),56564.6095529515
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4267.7799562736
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.1606858182
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),188.1334951785
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),2.8693738093
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.5488016719
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrná hrubá měsíční mzda na fyzické osoby (Kč),52077.6656854749
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3400.6295992425
Česko,2024,"M - Profesní, vědecké a technické činnosti",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.9861065354
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),185.0638834227
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-7.5650294941
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),96.0727445431
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),32554.268705042
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3494.1234515426
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),112.0237645788
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),205.9019042299
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-1.4250579615
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.3126518874
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),29259.6584333362
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2259.6767125836
Česko,2024,N - Administrativní a podpůrné činnosti,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),108.3691786756
Česko,2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),293.9895195575
Česko,2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-2.4387236658
Česko,2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.1772971296
Česko,2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),47214.4935651518
Česko,2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),1173.5494520172
