Území;Týdny;Ukazatel;value
Česko; 16. týden 2021;Průměrná cena bez daní (Kč/tis. l);11366.0
Česko; 16. týden 2021;Index cen (%);100.5
Česko; 15. týden 2021;Průměrná cena bez daní (Kč/tis. l);11315.0
Česko; 15. týden 2021;Index cen (%);96.7
Česko; 13. týden 2021;Průměrná cena bez daní (Kč/tis. l);11700.0
Česko; 13. týden 2021;Index cen (%);100.9
Česko; 12. týden 2021;Průměrná cena bez daní (Kč/tis. l);11601.0
Česko; 12. týden 2021;Index cen (%);97.2
Česko; 11. týden 2021;Průměrná cena bez daní (Kč/tis. l);11935.0
Česko; 11. týden 2021;Index cen (%);104.0
Česko; 10. týden 2021;Průměrná cena bez daní (Kč/tis. l);11477.0
Česko; 10. týden 2021;Index cen (%);103.8
Česko; 09. týden 2021;Průměrná cena bez daní (Kč/tis. l);11061.0
Česko; 09. týden 2021;Index cen (%);104.1
Česko; 08. týden 2021;Průměrná cena bez daní (Kč/tis. l);10630.0
Česko; 08. týden 2021;Index cen (%);102.0
Česko; 07. týden 2021;Průměrná cena bez daní (Kč/tis. l);10424.0
Česko; 07. týden 2021;Index cen (%);102.5
Česko; 06. týden 2021;Průměrná cena bez daní (Kč/tis. l);10167.0
Česko; 06. týden 2021;Index cen (%);103.8
Česko; 05. týden 2021;Průměrná cena bez daní (Kč/tis. l);9794.0
Česko; 05. týden 2021;Index cen (%);99.9
Česko; 04. týden 2021;Průměrná cena bez daní (Kč/tis. l);9805.0
Česko; 04. týden 2021;Index cen (%);99.6
Česko; 03. týden 2021;Průměrná cena bez daní (Kč/tis. l);9842.0
Česko; 03. týden 2021;Index cen (%);103.8
Česko; 02. týden 2021;Průměrná cena bez daní (Kč/tis. l);9482.0
Česko; 02. týden 2021;Index cen (%);99.8
