Území;Čtvrtletí;Ukazatel;value
Česko;2. čtvrtletí 2019;Přistěhovalí na 1 000 obyvatel;6.35409369472579
Česko;2. čtvrtletí 2019;Vystěhovalí na 1 000 obyvatel;1.97006622931022
Česko;2. čtvrtletí 2019;Přirozený přírůstek/úbytek na 1 000 obyvatel;0.671485243329912
Česko;2. čtvrtletí 2019;Přírůstek/úbytek stěhováním na 1 000 obyvatel;4.38402746541557
Česko;2. čtvrtletí 2019;Celkový přírůstek/úbytek na 1 000 obyvatel;5.05551270874548
Česko;2. čtvrtletí 2019;Kojenecká úmrtnost;2.7500261078428
Česko;2. čtvrtletí 2019;Novorozenecká úmrtnost;1.77533331012636
Česko;1. čtvrtletí 2019;Sňatky na 1 000 obyvatel;1.6
Česko;1. čtvrtletí 2019;Rozvody na 1 000 obyvatel;2.3
Česko;1. čtvrtletí 2019;Živě narození na 1 000 obyvatel;10.3
Česko;1. čtvrtletí 2019;Potraty na 1 000 obyvatel;3.2973005414087
Česko;1. čtvrtletí 2019;UPT na 1 000 obyvatel;1.90924399205226
Česko;1. čtvrtletí 2019;Zemřelí na 1 000 obyvatel;11.5
Česko;1. čtvrtletí 2019;Přistěhovalí na 1 000 obyvatel;5.8
Česko;1. čtvrtletí 2019;Vystěhovalí na 1 000 obyvatel;2.2
Česko;1. čtvrtletí 2019;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.2
Česko;1. čtvrtletí 2019;Přírůstek/úbytek stěhováním na 1 000 obyvatel;3.6
Česko;1. čtvrtletí 2019;Celkový přírůstek/úbytek na 1 000 obyvatel;2.3
Česko;1. čtvrtletí 2019;Kojenecká úmrtnost;2.85926476049016
Česko;1. čtvrtletí 2019;Novorozenecká úmrtnost;1.59673226884515
Česko;4. čtvrtletí 2018;Sňatky na 1 000 obyvatel;2.12335107587988
Česko;4. čtvrtletí 2018;Rozvody na 1 000 obyvatel;2.49599956234528
Česko;4. čtvrtletí 2018;Živě narození na 1 000 obyvatel;10.0220083950006
Česko;4. čtvrtletí 2018;Potraty na 1 000 obyvatel;3.03820311015245
Česko;4. čtvrtletí 2018;UPT na 1 000 obyvatel;1.6426345283395
Česko;4. čtvrtletí 2018;Zemřelí na 1 000 obyvatel;10.3417407963879
Česko;4. čtvrtletí 2018;Přistěhovalí na 1 000 obyvatel;6.02274483825387
