Území;Měsíce;Země;Ukazatel;value
Česko;prosinec 2024;Brazílie;Bilance - pohyb zboží (v mil. Kč);522.944772
Česko;prosinec 2024;Brazílie;Obrat - pohyb zboží (v mil. Kč);1427.29116
Česko;prosinec 2024;Brazílie;Pohyb zboží z ČR (meziroční index );119.3959872822
Česko;prosinec 2024;Brazílie;Pohyb zboží do ČR (meziroční index);90.2926692885
Česko;prosinec 2024;Brazílie;Obrat pohybu zboží (meziroční index);108.3336793687
Česko;prosinec 2024;Britské indickooceánské území;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Britské indickooceánské území;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Britské indickooceánské území;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Britské indickooceánské území;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Britské indickooceánské území;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Britské indickooceánské území;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Britské indickooceánské území;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Britské Panenské ostrovy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Britské Panenské ostrovy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Britské Panenské ostrovy;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Britské Panenské ostrovy;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Britské Panenské ostrovy;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Britské Panenské ostrovy;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Britské Panenské ostrovy;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Brunej Darussalam;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Brunej Darussalam;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Brunej Darussalam;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Brunej Darussalam;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Brunej Darussalam;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Brunej Darussalam;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Brunej Darussalam;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Bulharsko;Pohyb zboží z ČR (v mil. Kč, FOB);2705.633395
Česko;prosinec 2024;Bulharsko;Pohyb zboží do ČR (v mil. Kč, CIF);3110.002871
Česko;prosinec 2024;Bulharsko;Bilance - pohyb zboží (v mil. Kč);-404.369476
Česko;prosinec 2024;Bulharsko;Obrat - pohyb zboží (v mil. Kč);5815.636266
Česko;prosinec 2024;Bulharsko;Pohyb zboží z ČR (meziroční index );113.7855394638
Česko;prosinec 2024;Bulharsko;Pohyb zboží do ČR (meziroční index);132.3102350895
Česko;prosinec 2024;Bulharsko;Obrat pohybu zboží (meziroční index);122.9944145786
Česko;prosinec 2024;Burkina Faso;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Burkina Faso;Pohyb zboží do ČR (v mil. Kč, CIF);
