Ukazatel;Druh nemovitosti;Typ údaje;Území;Čtvrtletí;value
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;4. čtvrtletí 2022;253.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;1. čtvrtletí 2023;240.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;2. čtvrtletí 2023;238.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;3. čtvrtletí 2023;233.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Plzeňský kraj;4. čtvrtletí 2023;235.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;1. čtvrtletí 2015;100.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;2. čtvrtletí 2015;100.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;3. čtvrtletí 2015;100.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;4. čtvrtletí 2015;98.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;1. čtvrtletí 2016;94.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;2. čtvrtletí 2016;97.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;3. čtvrtletí 2016;109.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;4. čtvrtletí 2016;115.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;1. čtvrtletí 2017;108.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;2. čtvrtletí 2017;111.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;3. čtvrtletí 2017;123.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;4. čtvrtletí 2017;127.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;1. čtvrtletí 2018;126.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;2. čtvrtletí 2018;134.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;3. čtvrtletí 2018;135.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;4. čtvrtletí 2018;141.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;1. čtvrtletí 2019;142.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;2. čtvrtletí 2019;146.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;3. čtvrtletí 2019;145.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;4. čtvrtletí 2019;151.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;1. čtvrtletí 2020;156.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;2. čtvrtletí 2020;161.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;3. čtvrtletí 2020;159.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Karlovarský kraj;4. čtvrtletí 2020;171.4
