Ukazatel,Právní forma,Území,Roky,value
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2018,-68960.43751
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2017,2963042.65635
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2016,3968437.62872
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2015,539867.36645
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2014,1478146.17
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2013,2274137.77
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2012,1401207.32
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2011,1051286.49
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2010,370302.04
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2009,-1157489.39
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2008,1633952.54
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,2007,615289.7
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2024,2836002.38728
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2023,3764636.60456
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2022,1808640.26287
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2021,2024054.56102
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2020,614237.22539
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2019,758386.78167
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2018,178247.53441
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2017,844122.18592
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2016,2421279.45983
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2015,555088.83942
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2014,742819.41
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Olomoucký kraj,2013,31950.71
