Ukazatel,Typ indexu,Území,Klasifikace stavebních děl,Čtvrtletí,value
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,2. čtvrtletí 2005,102.8
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,3. čtvrtletí 2005,102.4
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,4. čtvrtletí 2005,102.5
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,1. čtvrtletí 2006,102.5
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,2. čtvrtletí 2006,102.9
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,3. čtvrtletí 2006,103.4
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,4. čtvrtletí 2006,103.5
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,1. čtvrtletí 2007,104.1
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,2. čtvrtletí 2007,104.6
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,3. čtvrtletí 2007,105.0
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,4. čtvrtletí 2007,105.5
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,1. čtvrtletí 2008,105.5
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,2. čtvrtletí 2008,105.4
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,3. čtvrtletí 2008,104.6
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,4. čtvrtletí 2008,103.6
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,1. čtvrtletí 2009,102.2
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,2. čtvrtletí 2009,101.0
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,3. čtvrtletí 2009,100.1
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,4. čtvrtletí 2009,99.8
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,1. čtvrtletí 2010,99.8
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,2. čtvrtletí 2010,99.4
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,3. čtvrtletí 2010,99.4
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,4. čtvrtletí 2010,99.3
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,1. čtvrtletí 2011,99.2
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,2. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,111 Budovy jednobytové,3. čtvrtletí 2011,99.6
