Ukazatel;Území;Druh zemědělské plodiny;Roky;value
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2021;1734.03
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2022;435.71
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2023;
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno ozimé;2024;
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2009;
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2010;
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2011;6475.61
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2012;8517.01
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2013;4444.65
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2014;5783.66
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2015;2268.89
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2016;10126.44157442
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2017;1285.9
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2018;4207.48
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2019;1138.01
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2020;1840.41
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2021;1996.58
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2022;842.2
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2023;
Sklizeň zemědělských plodin (t);Česko;Směsi obilovin na zrno jarní;2024;
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2009;11271.73
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2010;7693.87
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2011;8091.21
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2012;13042.0
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2013;7917.43
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2014;5453.51
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2015;6992.24
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2016;7734.42842558
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2017;7487.25
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2018;8074.66
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2019;6528.5
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2020;10491.72
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2021;10507.91
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2022;7852.21
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2023;3960.69
Sklizeň zemědělských plodin (t);Česko;Ostatní obiloviny na zrno;2024;6136.04
Sklizeň zemědělských plodin (t);Česko;Luskoviny a bílkovinné plodiny na zrno;2009;62072.04
